Date and Time,FrontLeftMotorSpeed,RearLeftMotorSpeed,FrontRightMotorSpeed,RearRightMotorSpeed
20170127_081028573,0.0,0.0,-0.0,-0.0
20170127_081029137,0.0,0.0,-0.0,-0.0
20170127_081029733,0.0,0.0,-0.0,-0.0
20170127_081030287,0.0,0.0,-0.0,-0.0
20170127_081030861,0.0,0.0,-0.0,-0.0
20170127_081031409,0.0,0.0,-0.0,-0.0
20170127_081031976,0.0,0.0,-0.0,-0.0
20170127_081032499,0.0,0.0,-0.0,-0.0
20170127_081033031,0.0,0.0,-0.0,-0.0
20170127_081033575,0.0,0.0,-0.0,-0.0
20170127_081034115,0.0,0.0,-0.0,-0.0
